,id,name,sex,geography,postcode,ethnic_group,nationality,occupation,Diesel car,Diesel consumption,Electricity consumption,Family type,Gas Availability,Gas consumption,House ID,House members,Individual type,Motor cycle,Number of bedrooms,Other fuel car,Petrol car,Petrol consumption,Region
8501,8501,Abigail Wells,female,North West,CH46 1SN,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
5051,5051,Jamie Chan,male,West Midlands,WV10 9EB,White,United Kingdom,Other,,,,,,,,,,,,,,,
3063,3063,Gareth Wood,male,West Midlands,DY10 3JU,White,Republic of Ireland,Other,,,,,,,,,,,,,,,
4097,4097,Gavin Pickering,male,South West,BS22 8SL,White,United Kingdom,Other,,,,,,,,,,,,,,,
7049,7049,Luke Bryant,male,South East,OX4 2RP,White,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
6979,6979,Lorraine Barnes,female,North West,WA5 8GH,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
2374,2374,Ian Jones,male,North West,CA14 3NY,White,United Kingdom,Other,,,,,,,,,,,,,,,
3247,3247,Annette Jackson,female,North West,WN4 8LN,White,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
2820,2820,Ronald Brown,male,North West,PR2 8WE,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
5914,5914,Eileen Lord,female,London,UB7 9EA,Asian / Asian British: Other Asian,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
9015,9015,Aaron Cross,male,South East,SP10 2EH,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
3582,3582,Elliot Stephenson,male,West Midlands,B31 2LT,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
6310,6310,Justin Hussain,male,South West,TR2 4HN,White,United Kingdom,Other,,,,,,,,,,,,,,,
619,619,Toby Cook,male,Scotland,TD1 1BA,White,United Kingdom,2. Professional occupations,0.0,0.0,476.59856439999993,One family households,Yes,2192.946795,56b6b2ff-7fe8-4088-a763-8cea35f04f76,5.0,Child,0.0,3 bedrooms,0.0,0.0,0.0,scotland
931,931,Paula Gilbert,female,North West,CW1 5AQ,White,United Kingdom,Other,0.0,789.0,2754.726206,One person household,Yes,23164.06882,cb282e3d-aa97-4140-91eb-1217fba87503,1.0,65 or over,0.0,3 bedrooms,0.0,1.0,47.0,north west
5793,5793,Darren Hughes,male,East,CM9 8PR,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
3302,3302,Mary Smith,female,West Midlands,CV2 1AR,White,United Kingdom,"6. Caring, leisure and other service occupations",,,,,,,,,,,,,,,
1870,1870,Janet Dawson,female,East Midlands,PE8 4AZ,White,United Kingdom,Other,,,,,,,,,,,,,,,
372,372,Jenna Fraser,female,Scotland,IV14 9HA,White,Philippines,2. Professional occupations,0.0,0.0,1278.519857,One family households,Yes,12515.71468,91719b81-6e13-4aaf-b556-63998962bbb8,2.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,scotland
7163,7163,Trevor Fox,male,West Midlands,CV37 7RP,White,United Kingdom,Other,,,,,,,,,,,,,,,
5569,5569,Roy Smith,male,Wales,SY22 6AF,White,United Kingdom,Other,,,,,,,,,,,,,,,
7537,7537,Christian Dawson,male,East,NR31 9RA,White,United Kingdom,Other,,,,,,,,,,,,,,,
1429,1429,Kenneth Taylor,male,East Midlands,LE2 6NQ,White,India,Other,,,,,,,,,,,,,,,
1184,1184,Malcolm Burton,male,South West,GL2 0NG,White,United Kingdom,Other,,,,,,,,,,,,,,,
7644,7644,Carolyn Barlow,female,North West,WA9 5QA,White,United Kingdom,Other,,,,,,,,,,,,,,,
3613,3613,Hilary Moss,female,Wales,LL18 5HJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
877,877,Charles Fisher,male,East Midlands,LE1 6QD,White,United Kingdom,"1. Managers, directors and senior officials",0.0,240.0,4419.625088000001,One family households,No,0.0,aebc7971-b20d-47e2-8b02-08094c9773f6,3.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,east midlands
8001,8001,Anne Hurst,female,East,SG19 1JE,White,United Kingdom,Other,,,,,,,,,,,,,,,
347,347,Nicola Wilson,female,North West,CW2 8DT,White,Sudan,Other,0.0,0.0,414.4983247,One family households,Yes,7353.130983,fe7d53a7-fcf6-4fcb-bd55-ee11a48e477f,2.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,north west
8025,8025,Abbie Edwards,female,North West,CW9 8AG,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
2125,2125,Susan Jones,female,South West,BH21 2ST,White,United Kingdom,Other,,,,,,,,,,,,,,,
656,656,Laura Macdonald,female,East,CB22 7RZ,White,United Kingdom,9. Elementary occupations,0.0,0.0,1068.483587,One family households,Yes,6394.864654,849411ca-60e8-493b-b328-adf21e3849ea,3.0,Child,0.0,3 bedrooms,0.0,0.0,0.0,east
2371,2371,Carol Hawkins,female,South East,HP6 6HB,White,United Kingdom,Other,,,,,,,,,,,,,,,
7355,7355,Rosemary James,female,East Midlands,NN4 9QE,White,United Kingdom,Other,,,,,,,,,,,,,,,
6157,6157,Simon Robinson,male,East,CM9 4QT,White,United Kingdom,Other,,,,,,,,,,,,,,,
